"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"10872","AFUN019065",0,2,0,2
"10873","AFUN019066",186,12,186,12
"10874","AFUN019067",138,227,138,227
"10875","AFUN019068",1,2,1,2
"10876","AFUN019069",400,138,400,138
"10877","AFUN019070",0,1,0,1
"10878","AFUN019071",367,76,367,76
"10879","AFUN019072",1522,1083,1522,1083
"10880","AFUN019073",14,64,14,64
"10881","AFUN019074",17,39,17,39
"10882","AFUN019075",189,525,189,525
"10883","AFUN019076",0,0,0,0
"10884","AFUN019077",14,18,14,18
"10885","AFUN019078",57612,157774,57612,157774
"10886","AFUN019079",4,0,4,0
"10887","AFUN019080",0,0,0,0
"10888","AFUN019081",11,12,11,12
"10889","AFUN019082",1,1,1,1
"10890","AFUN019083",216,687,216,687
"10891","AFUN019084",520,112,520,112
"10892","AFUN019085",10,4,10,4
"10893","AFUN019086",47,9,47,9
"10894","AFUN019087",165,29,165,29
"10895","AFUN019088",0,0,0,0
"10896","AFUN019089",3,1,3,1
"10897","AFUN019090",938,516,938,516
"10898","AFUN019091",13,15,13,15
"10899","AFUN019092",927,901,927,901
"10900","AFUN019093",60,10,60,10
"10901","AFUN019094",29,20,29,20
"10902","AFUN019095",412,136,412,136
"10903","AFUN019096",1519,299,1519,299
"10904","AFUN019097",2,0,2,0
"10905","AFUN019098",42,22,42,22
"10906","AFUN019099",265,58,265,58
"10907","AFUN019100",0,0,0,0
"10908","AFUN019101",213,129,213,129
"10909","AFUN019102",911,309,911,309
"10910","AFUN019103",1057,892,1057,892
"10911","AFUN019104",51,104,51,104
"10912","AFUN019105",843,3438,843,3438
"10913","AFUN019106",18,53,18,53
"10914","AFUN019107",0,5,0,5
"10915","AFUN019108",4,8,4,8
"10916","AFUN019109",31,31,31,31
"10917","AFUN019110",81,14,81,14
"10918","AFUN019111",0,0,0,0
"10919","AFUN019112",0,2,0,2
"10920","AFUN019113",0,0,0,0
"10921","AFUN019114",158,186,158,186
"10922","AFUN019115",26,6,26,6
"10923","AFUN019116",0,0,0,0
"10924","AFUN019117",0,2,0,2
"10925","AFUN019118",174,341,174,341
"10926","AFUN019119",282,811,282,811
"10927","AFUN019120",24,8,24,8
"10928","AFUN019121",78,20,78,20
"10929","AFUN019122",257,85,257,85
"10930","AFUN019123",35,0,35,0
"10931","AFUN019124",1210,746,1210,746
"10932","AFUN019125",0,0,0,0
"10933","AFUN019126",234,76,234,76
"10934","AFUN019127",68,17,68,17
"10935","AFUN019128",385,476,385,476
"10936","AFUN019129",5,11,5,11
"10937","AFUN019130",1081,1538,1081,1538
"10938","AFUN019131",8,3,8,3
"10939","AFUN019132",146,186,146,186
"10940","AFUN019133",0,0,0,0
"10941","AFUN019134",0,2,0,2
"10942","AFUN019135",0,6,0,6
"10943","AFUN019136",4,1,4,1
"10944","AFUN019137",4,196,4,196
"10945","AFUN019138",222,109,222,109
"10946","AFUN019139",34,0,34,0
"10947","AFUN019140",1,0,1,0
"10948","AFUN019141",10,3,10,3
"10949","AFUN019142",327,109,327,109
