"","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"AFUN002339",147.666693818453,175.641035868904,183.149732320129,121.496419161014,195.904021038633,342.826803714806,334.426209170843,218.506980476178,116.236847299891,106.601114185734
"AFUN002340",80.7438572110753,105.695490611376,93.051880130388,102.011144389908,155.974539043498,230.867599798934,135.232456167445,225.671143770478,170.428350432949,134.238440085739
"AFUN002341",1303.54046956979,1708.22564973386,1862.51461657808,993.749013326403,2082.57204530878,1303.3595600689,1790.9163114067,1232.83310022761,1244.83380385356,1246.49980079615
"AFUN002342",5.81937709629372,3.10869090033459,1.47701397032362,13.7543116031336,11.2301668111318,16.2147812567813,7.30986249553755,7.76117690215931,14.9222979641752,10.7165141244918
"AFUN002343",404.446708192413,576.662162012066,621.822881506244,191.414169810276,423.002949885966,487.987702585039,776.672890150864,475.819845463152,566.261938535281,597.868682734805
"AFUN002344",101.83909918514,43.5216726046842,42.833405139385,96.2801812219352,26.2037225593076,101.149349744684,74.9260905792599,143.283265886018,125.661456540423,93.0644647653234
"AFUN002345",81.471279348112,118.130254212714,115.207089685242,72.2101359164514,62.3898156173991,62.5427277047281,93.2007468181037,79.9998234530268,65.972264683722,77.2717071081776
"AFUN002346",1220.61434594761,909.292088347867,927.564773363233,575.388702064422,475.410395004581,1547.35341136142,1114.75403056948,1392.23573352581,1416.83292249327,1544.87011510437
"AFUN002347",208.0427311925,282.890871930448,280.632654361488,214.338022482165,184.673854227501,211.564288778957,286.912102949849,261.491960241983,189.277568914012,170.900198932685
"AFUN002348",147.666693818453,125.901981463551,168.379592616893,129.519767596175,108.558279174274,134.351044699045,129.750059295791,187.46227286754,216.76601253223,280.321448414338
"AFUN002351",8.00164350740386,9.32607270100377,10.3390977922653,3.4385779007834,59.8942229927031,10.0377217303885,3.65493124776877,4.17909525500886,7.85384103377643,8.46040588775667
"AFUN002354",35.643684714799,54.4020907558553,25.1092374955015,18.3390821375115,57.3986303680071,51.7328735335405,29.2394499821502,32.8357484322125,44.7668938925257,148.339116565334
"AFUN002358",6.54679923333043,0,0,48.1400906109676,16.2213520605238,1.54426488159822,3.65493124776877,7.1641632943009,0,0
"AFUN002359",642.313747003419,547.129598458888,450.489260948704,2944.56887570419,296.97552233882,1112.64284719152,687.127074580529,688.953703468604,83.2507149580302,28.2013529591889
"AFUN002360",88.0180785814425,69.9455452575283,73.850698516181,377.09737645258,82.3545566149668,54.8214032967369,51.1690374687628,79.9998234530268,45.5522779959033,31.5855153142916
"AFUN002362",862.722654525544,632.618598218089,711.920733695984,816.089155119261,587.712063115899,1166.69211804746,829.669393243512,1219.10178724687,896.123261953891,944.745324132828
"AFUN002368",48.0098610444232,54.4020907558553,64.9886146942392,17.192889503917,73.6199824285309,33.2016949543618,51.1690374687628,54.9252519229736,33.7715164452387,41.1739753204158
"AFUN002370",2121.16295159906,2981.23457342087,2838.820850962,1726.16610619327,1946.56224726285,1466.27950507751,2160.06436743135,1504.47429180319,1470.23904152295,1603.52892925948
"AFUN002372",181.128112122142,245.586581126433,249.615360984692,359.904486948663,329.418226459867,208.47575901576,323.461415427536,311.044089694231,248.181376667335,214.894309549019
"AFUN002373",1019.11841398844,820.694397688331,821.219767499932,425.237467063547,424.250746198314,1162.83145584346,1030.69061187079,959.400867828463,956.597837913969,1047.39824890428
"AFUN002375",328.794805940595,236.260508425429,236.322235251779,177.659858207142,311.949078086995,295.72672482606,184.574028012323,227.462184594054,160.218357089039,192.897254240852
"AFUN002376",177.491001436958,195.847526721079,194.965844082718,248.723801489999,364.356523205611,121.224793205461,206.503615498936,167.760823808213,117.022231403269,113.933465955123
"AFUN002377",63.2857259221942,32.6412544535132,66.4656286645629,35.5319716414285,84.8501492396627,92.6558928958934,42.0317093493409,91.9400956101949,66.7576487870997,82.9119777000154
"AFUN002378",1024.21036894769,1370.93268704755,1412.02535562938,694.592735958247,1395.03627720504,892.585101563773,1169.57799928601,775.520676608073,964.451678947746,1252.70409844717
"AFUN002379",312.064096788751,262.684381078273,279.155640391164,311.764396337695,204.638595225069,272.562751602086,184.574028012323,159.999646906054,90.319171888429,55.838678859194
"AFUN002380",2473.96268806187,1888.52972195326,1850.69850481549,3202.46221826294,1934.08428413937,3202.03323199392,2600.48358278748,2824.47137877813,2517.94143542872,2458.59395098209
"AFUN002382",602.3055294664,573.553471111732,521.385931524238,1085.44442401396,1130.50345898727,382.977690636359,370.975521648531,273.432232399151,91.8899400951843,55.838678859194
"AFUN002383",717.965649255237,441.434107847512,457.874330800322,575.388702064422,408.02939413779,725.804494351165,433.1093528606,652.535873389241,633.01958732238,746.207799300138
"AFUN002384",165.852247244371,83.9346543090339,103.390977922653,332.395863742395,244.568077220204,122.769058087059,85.8908843225662,132.537020944567,45.5522779959033,93.0644647653234
"AFUN002385",1649.79340679927,1245.030705584,1255.46187477508,1263.1042822211,1137.99023686136,1908.7113936554,1562.48310842115,1502.68325097961,1610.82279602755,1817.29518469013
"AFUN002386",253.142903688777,198.956217621414,215.644039667248,225.79994881811,264.532818217772,273.334884042886,221.123340490011,200.596572240425,180.638343776858,227.866931910246
"AFUN002387",39.2807953999826,24.8695272026767,22.1552095548543,22.9238526718893,32.4427041210475,36.2902247175583,40.2042437254565,8.35819051001772,9.42460924053172,19.1769200122485
"AFUN002388",32.0065740296154,26.423872652844,25.1092374955015,9.16954106875574,33.6905004333955,35.5180922767591,12.7922593671907,14.9253401964602,8.63922513715408,16.9208117755133
"AFUN002389",43.6453282222029,23.3151817525094,47.2644470503558,35.5319716414285,62.3898156173991,38.6066220399556,32.894381229919,17.3133946278939,3.14153641351057,18.6128929530647
"AFUN002390",152.031226640673,195.847526721079,209.735983785954,350.734945879907,299.471114963516,142.844501547836,175.436699892901,200.596572240425,216.76601253223,115.625547132674
"AFUN002391",545.566602777536,422.781962445504,381.069604343494,302.594855268939,370.59550476735,706.501183331187,524.482634054819,564.774873034055,598.462686773764,746.771826359322
"AFUN002392",419.722573070184,519.151380355876,528.771001375856,276.232424696267,350.630763769783,403.053134097136,577.479137147466,407.163280559435,396.61897220571,522.289056804178
