"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN002222",5942.34961268458,-0.250591405968083,0.333836415188748,-0.750641315826499,0.452868549253133,0.892147504980343
"AFUN002551",285.2623996718,-0.323989042949584,0.430058655401098,-0.753360126300477,0.451233536784816,0.892147504980343
"AFUN002679",332.053957247642,-0.275531277133571,0.361343557963003,-0.762518857916879,0.445750392436939,0.892147504980343
"AFUN002856",1013.381735451,0.252954436050353,0.334118971514442,0.757078937792132,0.449002571723598,0.892147504980343
"AFUN002896",22.9600219765491,-0.488286831702735,0.648684661183387,-0.752733740939641,0.451609930071609,0.892147504980343
"AFUN002974",116.033173234552,-0.320446722412539,0.426482748579873,-0.751370890099496,0.452429476672701,0.892147504980343
"AFUN003096",159.062288568933,-0.295357234768647,0.389137513497165,-0.75900478500333,0.447849694408781,0.892147504980343
"AFUN003459",33.4921608030377,0.418919956759366,0.553015772390647,0.757519003388286,0.448738985226472,0.892147504980343
"AFUN003537",283.278268118026,0.30482335994522,0.403438661251102,0.75556308609575,0.449911195031588,0.892147504980343
"AFUN003740",181.002872375346,-0.285866267158351,0.374667584995624,-0.76298638741777,0.44547151418542,0.892147504980343
"AFUN003953",166.678276033138,-0.274809970946484,0.360238038114859,-0.7628566166543,0.445548911615265,0.892147504980343
"AFUN004443",1018.43365018551,0.296894942052932,0.39047117036802,0.760350480608101,0.447045114813458,0.892147504980343
"AFUN004475",125.891892558016,0.316908268021946,0.416841950463804,0.760260016222777,0.447099176884639,0.892147504980343
"AFUN004496",236.847259245349,0.25674384138032,0.337883546603956,0.759858963127489,0.447338893452055,0.892147504980343
"AFUN004616",64.3782230788793,-0.390356777078499,0.51491878650857,-0.758093872871351,0.448394787467916,0.892147504980343
"AFUN004721",17.4171873272503,0.569229193787946,0.751462341720025,0.757495302406019,0.448753179187539,0.892147504980343
"AFUN004723",18.6000234330774,0.518595843449881,0.683241446081651,0.759022811663427,0.447838910992192,0.892147504980343
"AFUN004804",2570.04586282568,0.255475110837808,0.338124834868765,0.755564467593647,0.44991036646769,0.892147504980343
"AFUN005303",887.046854026012,0.239531611465467,0.316685640263819,0.756370296000546,0.449427212140908,0.892147504980343
"AFUN005587",243.029285517559,0.278106749135061,0.363383872545028,0.765324963893659,0.444078062348263,0.892147504980343
"AFUN005842",130.184015635553,-0.319621673786088,0.418789722542196,-0.76320324158357,0.445342195876095,0.892147504980343
"AFUN005903",4054.19334912703,0.273297130499878,0.358572219656256,0.762181550935187,0.445951655569452,0.892147504980343
"AFUN006108",1944.37489859457,0.254601030561146,0.336757547265641,0.756036598521464,0.449627253001737,0.892147504980343
"AFUN006323",1487.73596329449,-0.265819546081049,0.351823962744651,-0.755547018478607,0.449920831771016,0.892147504980343
"AFUN006818",245.251666840713,0.288292276597908,0.380167708368228,0.758329206431887,0.448253926946466,0.892147504980343
"AFUN006821",15.6772245061657,-0.674142007115082,0.895430724166078,-0.752868970118169,0.45152865619334,0.892147504980343
"AFUN006856",138.760520997989,0.293048932291617,0.390183081391057,0.751054943865983,0.452619589984868,0.892147504980343
"AFUN006953",5115.48325559984,0.274804715915742,0.359288759512625,0.764857537676699,0.444356381322186,0.892147504980343
"AFUN006994",791.614447822922,0.302977029313962,0.398233192794632,0.760803054079439,0.44677470997119,0.892147504980343
"AFUN007051",891.771711708277,-0.276806578076771,0.361697687205339,-0.765298169904044,0.444094013568726,0.892147504980343
"AFUN007113",39.600294753828,0.383912819631853,0.502924780699862,0.763360316223843,0.445248539714738,0.892147504980343
"AFUN007147",198.170607738294,0.265481257291599,0.351578360096699,0.755112621887707,0.450181410489051,0.892147504980343
"AFUN007155",45.5798355775744,-0.398471353607826,0.529576611034679,-0.752433822236406,0.451790213266644,0.892147504980343
"AFUN007273",122.111860532517,-0.303233883399719,0.399731824169947,-0.758593299468691,0.448095882173954,0.892147504980343
"AFUN007289",133.09017442497,-0.296900151729615,0.394929133948623,-0.751780829034099,0.452182872696035,0.892147504980343
"AFUN007457",23.9410960955768,-0.605851616538354,0.795627672191485,-0.761476300679173,0.446372628989097,0.892147504980343
"AFUN007717",31.1887443357182,0.423352997654896,0.553549957606093,0.76479636903189,0.444392810251905,0.892147504980343
"AFUN007937",107.720609146724,0.310398103836702,0.408879868133746,0.759142545348232,0.447767290919904,0.892147504980343
"AFUN008049",646.540767882518,-0.244020628801777,0.323589097536565,-0.754106459888388,0.450785298772958,0.892147504980343
"AFUN008426",21.4756784532604,-0.567257293387451,0.745727204438027,-0.760676679101349,0.446850207473879,0.892147504980343
"AFUN008630",8848.27637305752,-0.236527894934711,0.314053055653848,-0.753146293839641,0.451362008178512,0.892147504980343
"AFUN008684",676.187567091032,-0.262146186214305,0.343618008869815,-0.762900021091803,0.445523023637937,0.892147504980343
"AFUN008773",221.97142282462,0.281456749499018,0.368213508738643,0.764384637769482,0.44463806076395,0.892147504980343
"AFUN009055",71.0272471933779,0.365407445545071,0.479278397018338,0.762411675173187,0.445814340246078,0.892147504980343
"AFUN009229",148.076637177314,0.324230141204555,0.424850249144457,0.76316335428183,0.445365980570827,0.892147504980343
"AFUN009332",602.073674791785,-0.282413081555742,0.373490657055246,-0.756144969682516,0.449562282456182,0.892147504980343
"AFUN009538",152.057074943107,0.313035726337404,0.413133770726418,0.757710331418777,0.448624412699404,0.892147504980343
"AFUN009703",7030.50300990477,0.242465285944337,0.322202947827578,0.752523487383142,0.45173631066611,0.892147504980343
"AFUN010132",874.184435096484,0.229669150642266,0.300356362323328,0.764655520747823,0.444476698796956,0.892147504980343
"AFUN010193",300.8848368905,0.280394166140019,0.368022709121127,0.761893652730363,0.446123478582785,0.892147504980343
"AFUN010249",1027.54906425331,0.257600001318529,0.338502392433783,0.760999056657834,0.446657630698132,0.892147504980343
"AFUN010377",16.7433233150225,0.572939945737526,0.752635341657784,0.761245073179193,0.446510701042209,0.892147504980343
"AFUN010533",86.4624954478605,-0.489262884497693,0.640128975167458,-0.764319228589366,0.444677029291162,0.892147504980343
"AFUN011030",467.717154336378,-0.232960646845528,0.307419918625411,-0.757792949419745,0.448574943884993,0.892147504980343
"AFUN015827",139.151207231956,-0.351650093749443,0.459686166339506,-0.764978629984981,0.444284269936809,0.892147504980343
"AFUN015917",19.6721732808134,-0.560577449559367,0.737217641351586,-0.760396140997963,0.447017829296669,0.892147504980343
"AFUN016065",2568.72112713908,-0.238848788247669,0.316812565193864,-0.753911979790044,0.450902076636803,0.892147504980343
"AFUN016090",413.918284476741,-0.232527742016142,0.30954154631197,-0.751200427815236,0.452532042790438,0.892147504980343
"AFUN016147",117.368616279091,0.298833696526951,0.392850585280812,0.760680288444378,0.446848051120512,0.892147504980343
"AFUN016315",27.9280416278437,0.513656258827367,0.681211306213149,0.754033666415169,0.450829006465389,0.892147504980343
"AFUN017703",2903.6309741945,0.800635556259378,1.06585116727973,0.751170126597283,0.452550276223589,0.892147504980343
"AFUN017731",3649.98704228197,-1.27375552966638,1.68621979486075,-0.755391161667374,0.450014314769271,0.892147504980343
"AFUN019373",952.720931862782,-0.273959049875621,0.363731847775495,-0.753189613587853,0.451335979829936,0.892147504980343
"AFUN019466",13.7516413769749,0.637174513316916,0.846060681006613,0.753107345159721,0.451385410928219,0.892147504980343
"AFUN019495",106.49760603712,0.420235395146462,0.557927521216225,0.753207861534401,0.451325015941159,0.892147504980343
"AFUN019564",17.2963402449503,-0.710241413558828,0.929358827103078,-0.764227328396649,0.444731783538985,0.892147504980343
"AFUN019610",18.9709987496839,0.553887308653374,0.727287499679235,0.761579580149064,0.446310965940768,0.892147504980343
"AFUN019688",19.2038231210538,0.536177772024297,0.705170387533357,0.760352081572532,0.447044158100786,0.892147504980343
"AFUN019942",140.332310814293,0.277533039151888,0.366432705834863,0.757391561213321,0.448815310347687,0.892147504980343
"AFUN020042",26.0985968013014,-0.492393475984373,0.651645959719522,-0.755615021684945,0.449880046860838,0.892147504980343
"AFUN020255",133.709504341176,0.294375865935783,0.386850138722029,0.760955823638225,0.446683453809004,0.892147504980343
"AFUN020263",336.671700546487,0.2551049701648,0.336622429502956,0.757837113057136,0.448548501489723,0.892147504980343
"AFUN020562",354.518389762799,-0.246415273869111,0.325212333139988,-0.757705808663293,0.448627120859076,0.892147504980343
"AFUN020618",2619.21955118694,-0.268781076385673,0.357812640201808,-0.751178259756502,0.452545382141447,0.892147504980343
"AFUN020671",332.978969724556,-0.281355183738813,0.374285980994738,-0.751711787310484,0.452224400301717,0.892147504980343
"AFUN020851",2482.78961566084,-0.235824650029133,0.311660631131373,-0.756671284316711,0.449246822670114,0.892147504980343
"AFUN020994",205.962646565669,0.321715916247498,0.42797043241681,0.751724633009626,0.452216673634876,0.892147504980343
"AFUN021119",40.2690147544948,0.416387783898634,0.553475152489306,0.752315225039264,0.451861514083831,0.892147504980343
"AFUN021207",155.017393361737,0.311641973704522,0.414222968014272,0.752353195667761,0.451838685391238,0.892147504980343
"AFUN021304",155.852805922192,-0.280961674901042,0.372132104491825,-0.755005202479685,0.450245860670214,0.892147504980343
"AFUN022196",59.9288940656121,0.359787309665267,0.47697296590976,0.754313840364144,0.450660793592572,0.892147504980343
"AFUN022248",273.396455373113,0.284249142292296,0.378423065093225,0.751141165833194,0.452567703440882,0.892147504980343
"AFUN022285",36.4007931322405,0.393598292302318,0.522803190874603,0.752861304545335,0.451533263046135,0.892147504980343
"AFUN010970",116.221473896096,-0.285856494655586,0.38095019304105,-0.75037760809005,0.453027313098811,0.892231209189126
"AFUN000243",108.808885680545,0.31829377456108,0.425256750874028,0.748474360270338,0.454174084749035,0.89248329574631
"AFUN000823",576.888645940678,0.226924832541511,0.303370274624558,0.748012747202562,0.454452468750311,0.89248329574631
"AFUN002085",16.4261675730355,-0.629989104803019,0.842470352523523,-0.74778786329508,0.45458812383407,0.89248329574631
"AFUN002229",37.3084748188803,0.439392090397779,0.586601060662935,0.749047555251962,0.453828543129983,0.89248329574631
"AFUN002625",56.3212165099157,0.373247818812865,0.498438288110758,0.74883456531318,0.453956923464232,0.89248329574631
"AFUN003824",200.989182319709,0.318430536903134,0.426104734425965,0.747305794037031,0.454878995833292,0.89248329574631
"AFUN003937",93.8177612643595,0.319814304034458,0.426884964728649,0.749181466809798,0.453747838016481,0.89248329574631
"AFUN004116",602.964448382527,0.279063164878533,0.37295850310615,0.748241862176038,0.454314284856832,0.89248329574631
"AFUN004643",120.102129535509,-0.325986053010494,0.436309759613529,-0.747143619476317,0.454976872634379,0.89248329574631
"AFUN005511",639.971380358941,-0.268925793503902,0.359919976423173,-0.747182182485237,0.454953597724622,0.89248329574631
"AFUN005650",132.65860424842,0.31270808716194,0.417827289136821,0.748414704573166,0.454210055771839,0.89248329574631
"AFUN006955",2877.80692841135,0.241797019166197,0.32331642370959,0.747864944168082,0.454541624329803,0.89248329574631
"AFUN007436",506.960569684727,-0.249691632602315,0.334045152162358,-0.747478689590308,0.454774661682267,0.89248329574631
"AFUN009268",23.1215662690255,-0.53622204937938,0.716434666384053,-0.748459105260455,0.454183283018718,0.89248329574631
"AFUN011281",4512.49878928941,0.234315823718929,0.31264741926257,0.749457085785646,0.453581754903,0.89248329574631
"AFUN011665",118.018808863802,0.301892103076707,0.40395959540834,0.747332422619004,0.454862925886452,0.89248329574631
"AFUN016200",22.3397782102783,-0.530318375353476,0.707449727831579,-0.749619873314487,0.453483678134194,0.89248329574631
"AFUN018413",7457.22485627172,-1.34390773738484,1.79296806973522,-0.749543597607571,0.453529631484436,0.89248329574631
"AFUN019532",17.9265802732084,0.531510755464021,0.710270659619855,0.748321429676529,0.454266301622718,0.89248329574631
"AFUN020164",33.1009660566205,0.436066375693912,0.58316957957147,0.74775226789838,0.454609597877751,0.89248329574631
"AFUN020872",917.366360319642,-0.297535933955401,0.397517793004233,-0.748484568971818,0.454167929296157,0.89248329574631
"AFUN021888",537.8636132743,0.298390256997435,0.397902835343692,0.749907340418165,0.453310513229907,0.89248329574631
"AFUN008763",561.010821014616,-0.279527512310381,0.374206237084009,-0.746987849504035,0.455070895257375,0.89250530931209
"AFUN003699",251.689263998418,0.282566823714988,0.378439660533027,0.74666281889429,0.455267118688998,0.892523096645242
"AFUN008507",1159.48445906294,-0.239554233291726,0.320943582344657,-0.746406055362316,0.455422162443705,0.892523096645242
"AFUN008961",2416.47479787259,0.227707918968674,0.305177113377517,0.746150051845432,0.455576776857048,0.892523096645242
"AFUN018919",679.357264078611,-0.280280206761674,0.37552817895639,-0.746362649909749,0.455448375271849,0.892523096645242
"AFUN019762",54.0763320726199,-1.18900777586217,1.59334889968691,-0.746231899426301,0.455527341450022,0.892523096645242
"AFUN020031",1529.96155570883,-0.249001216397296,0.33364986681558,-0.746294967157676,0.455489251009663,0.892523096645242
"AFUN004184",25.8421450424804,0.464939333559194,0.623461852360347,0.745738222473425,0.455825564933203,0.892822901607537
"AFUN022304",53.9499800059236,-0.363768671435704,0.487872423395631,-0.745622531611532,0.455895468081258,0.892822901607537
"AFUN003258",80.6660670584196,-0.349513045310793,0.46902422026137,-0.74519189033782,0.456155724695156,0.892868793321496
"AFUN009762",797.116293496697,-0.243265077803988,0.326454687252229,-0.74517256851648,0.456167403731467,0.892868793321496
