"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN021759",696.012537188962,467.964042931318,497.145649007086,420.645086726129
"AFUN021760",136.684632626256,102.439889994915,126.579519488889,101.642864822299
"AFUN021761",121.097788554841,66.3531105648884,67.8759742186796,89.1329737672467
"AFUN021762",118.699812543854,102.439889994915,82.5518605362319,115.716492259233
"AFUN021763",13.788362063175,4.07431380661596,1.83448578969404,3.12747276376304
"AFUN021764",206.825430947624,197.895242035632,113.738118961031,142.300010751218
"AFUN021765",321.928279474998,328.855328676859,456.786961633817,489.449487528916
"AFUN021766",77.3347263543291,101.857845165399,132.082976857971,93.8241829128912
"AFUN021767",31.1736881428303,32.0124656234111,66.0414884289855,32.8384640195119
"AFUN021768",24.5792541126162,32.5945104529276,22.0138294763285,29.7109912557489
"AFUN021769",130.689692598789,115.24487624428,163.26923528277,132.917592459929
"AFUN021770",119.299306546601,130.378041811711,209.131380025121,165.756056479441
"AFUN021771",133.087668609776,147.257341867691,322.869498986152,239.251666427873
"AFUN021772",75.5362443460889,92.5451278931338,86.22083211562,100.079128440417
"AFUN021773",13.788362063175,42.4892725547092,23.8483152660226,46.9120914564456
"AFUN021775",5.39544602472064,28.5201966463117,1.83448578969404,7.8186819094076
"AFUN021776",14.3878560659217,25.0279276692123,12.8414005278583,35.965936783275
"AFUN021777",50.9569902334727,62.860841587789,99.0622326434783,37.5296731651565
"AFUN021778",2.39797601098695,24.4458828396957,3.66897157938809,17.2011002006967
"AFUN021779",101.913980466945,284.037876804084,77.0484031671498,193.903311353309
"AFUN021780",76.7352323515824,777.611892234131,139.420920016747,57.8582461296163
"AFUN021781",2.99747001373369,9.31271727226504,7.33794315877617,4.69120914564456
"AFUN021782",348.905509598601,461.561549806636,517.32499269372,319.00222190383
"AFUN021783",226.608733038267,278.217428508918,196.289979497263,104.770337586062
"AFUN021784",272.769771249766,177.523673002552,245.821095819002,234.560457282228
"AFUN021785",305.741941400836,264.24835260052,478.800791110145,400.316513761669
"AFUN021786",7507.46339639739,9130.53724062636,10484.0862881015,8586.47647291143
"AFUN021787",223.011769021786,178.687762661585,143.089891596135,104.770337586062
"AFUN021790",4141.30457097446,2814.18675071259,6090.49282178422,6289.34772792748
"AFUN021791",159.465404730632,180.433897150135,159.600263703382,297.109912557489
"AFUN021792",1011.94587663649,1117.5260726718,1458.41620280676,1143.09129515539
"AFUN021794",11.390386052188,26.774062157762,23.8483152660226,9.38241829128912
"AFUN021795",17.9848200824021,61.1147070992393,44.027658952657,9.38241829128912
"AFUN021796",354.900449626069,189.164569592884,341.214356883092,358.095631450868
"AFUN021797",8.99241004120106,11.0588517608147,11.0069147381643,14.0736274369337
"AFUN021798",10.1913980466945,8.73067244274847,3.66897157938809,6.25494552752608
"AFUN021799",90.5235944147574,96.6194416997498,110.069147381643,126.662646932403
"AFUN021800",175.651742804794,171.703224707387,190.78652212818,148.554956278744
"AFUN021801",890.248594078905,1620.99485020363,1348.34705542512,1513.69681766131
"AFUN021802",60.5488942774205,104.186024483465,89.8898036950081,68.8044008027869
"AFUN021803",922.621270227229,864.918616661616,513.656021114332,645.823125717068
"AFUN021804",2620.38828600599,2557.50498089579,1715.24421336393,1974.99905031636
"AFUN021805",357.298425637056,342.824404585257,254.993524767472,214.231884317768
"AFUN021806",64.7453522966476,51.2199449974577,51.3656021114332,28.1472548738674
"AFUN021807",5.99494002746737,11.0588517608147,5.50345736908213,4.69120914564456
"AFUN021808",267.374325225045,275.889249190852,190.78652212818,376.860468033446
"AFUN021809",9.5919040439478,33.7586001119608,7.33794315877617,25.0197821101043
"AFUN021810",202.628972928397,106.514203801531,132.082976857971,275.217603211148
"AFUN021811",193.636562887196,47.7276760203583,177.945121600322,175.13847477073
"AFUN021812",50.3574962307259,69.2633347124712,27.5172868454106,78.186819094076
"AFUN021813",133.087668609776,131.542131470744,166.938206862158,125.098910550522
"AFUN021814",71.9392803296085,77.4119623257031,75.2139173774558,82.8780282397206
"AFUN021815",48.5590142224857,47.1456311908418,47.6966305320451,42.2208823108011
"AFUN021816",73.138268335102,79.7401416437694,86.22083211562,62.5494552752608
"AFUN021817",82.130678376303,63.4428864173056,36.6897157938809,21.8923093463413
"AFUN021818",49.7580022279792,32.5945104529276,64.2070026392915,68.8044008027869
"AFUN021819",61.747882282914,52.9660794860074,97.2277468537843,68.8044008027869
"AFUN021820",17.3853260796554,32.5945104529276,29.3517726351047,31.2747276376304
"AFUN021821",22.1812781016293,20.3715690330798,20.1793436866345,20.3285729644598
"AFUN021822",9.5919040439478,19.7895242035632,11.0069147381643,20.3285729644598
"AFUN021824",667.836319059865,786.924609506396,620.056196916587,908.530837873163
"AFUN021825",45.561544208752,41.3251828956761,18.3448578969404,46.9120914564456
"AFUN021829",14.3878560659217,4.65635863613252,1.83448578969404,0
"AFUN021830",3.59696401648042,11.6408965903313,1.83448578969404,1.56373638188152
"AFUN021831",1120.45429113365,876.559513251947,1586.83020808535,1233.78800530452
"AFUN021832",28.7757121318434,50.0558553384246,18.3448578969404,26.5835184919858
"AFUN021833",40.1660981840314,25.0279276692123,16.5103721072464,29.7109912557489
"AFUN021834",607.886918785192,426.056815206126,423.766217419324,392.497831852262
"AFUN021835",99.5160044559584,52.9660794860074,91.7242894847022,53.1670369839717
"AFUN021836",11.390386052188,93.1271727226504,23.8483152660226,56.2945097477347
"AFUN021837",211.021888966852,399.86479787788,115.572604750725,284.600021502437
"AFUN021838",175.052248802047,110.588517608147,132.082976857971,319.00222190383
"AFUN021839",633.665160903301,529.078750030558,605.380310599034,606.72971617003
"AFUN021840",64.7453522966476,115.24487624428,106.400175802254,89.1329737672467
"AFUN021841",231.404685060241,327.10919418831,207.296894235427,165.756056479441
"AFUN021842",359.096907645296,261.920173282454,170.607178441546,161.064847333797
"AFUN021843",267.374325225045,136.780534936393,269.669411085024,253.325293864806
"AFUN021844",130.090198596042,150.74961084479,251.324553188084,223.614302609057
"AFUN021845",48.5590142224857,41.9072277251927,55.0345736908213,29.7109912557489
"AFUN021846",252.986469159123,185.090255786268,277.007354243801,237.687930045991
"AFUN021847",319.530303464011,346.316673562356,256.828010557166,972.644029530306
"AFUN021848",7.19392803296085,22.699748351146,14.6758863175523,12.5098910550522
"AFUN021849",22.780772104376,51.8019898269743,20.1793436866345,14.0736274369337
"AFUN021850",77.9342203570759,75.6658278371535,113.738118961031,53.1670369839717
"AFUN021851",55.7529422554466,113.49874175573,78.8828889568439,121.971437786759
"AFUN021852",7.79342203570759,26.1920173282454,14.6758863175523,10.9461546731706
"AFUN021853",31.1736881428303,17.4613448854969,33.0207442144928,32.8384640195119
"AFUN021854",503.574962307259,550.614408722671,344.88332846248,531.670369839717
"AFUN021855",583.907158675322,563.419394972035,587.035452702094,419.081350344248
"AFUN021856",152.271476697671,115.24487624428,126.579519488889,132.917592459929
"AFUN021857",100.714992461452,113.49874175573,139.420920016747,154.809901806271
"AFUN021858",107.309426491666,132.12417630026,210.965865814815,125.098910550522
"AFUN021859",139.68210263999,197.895242035632,121.076062119807,200.158256880835
