"","komb_02_resistant","kombe_01_resistant","komb_04_susceptible","komb_06_susceptible","kombewa_05_susceptible","Kombewa_07_unexp","Siaya_unexposed"
"AFUN000887",71.6148346058862,88.6644354476461,27.7469138332538,24.1402036294383,42.729333897859,102.300014001614,120.675987442386
"AFUN000896",468.480376380172,606.718065420321,778.119974889073,692.442683054941,991.083161242008,702.292734158319,788.050766479823
"AFUN000897",387.91368744855,550.986134567515,390.869568781488,407.842387634195,653.996193825565,691.623407544653,745.997013280203
"AFUN000898",11.9358057676477,11.3997131289831,12.0638755796756,25.4107406625666,14.8365742700899,11.2969340615279,20.112664573731
"AFUN000899",429.689007635317,320.458602403635,773.294424657203,838.554441864699,688.417046132173,279.285314298885,179.185557111421
"AFUN000901",68.6308831639742,110.197226913503,37.3980142969942,38.11611099385,54.0051303431274,55.8570628597769,120.675987442386
"AFUN000903",11.9358057676477,6.96649135660077,8.44471290577289,3.811611099385,9.49540753285756,10.0417191658026,12.7989683651015
"AFUN000904",811.634792200043,1053.20682963882,696.085620947279,697.524831187454,946.573438431738,1216.9308414057,691.144291715482
"AFUN000905",2767.61496237331,3701.10686254317,3107.65434932442,3333.88917492874,4307.35424209251,3451.84096324464,3152.20306591929
"AFUN000906",149.197572095596,124.763527022759,102.542942427242,104.184036716523,94.9540753285756,107.948481032378,160.901316589848
"AFUN000907",223.796358143394,261.560084570556,229.213636013835,254.107406625666,297.918411343406,283.678566433923,193.81294952868
"AFUN000912",86.5345918154458,74.7314527344446,109.781267775048,73.6911479214433,56.3789822263418,58.9951000990902,56.6811456168782
"AFUN000913",414.769250425757,278.026336867976,501.857224114503,383.702184004756,427.29333897859,301.87918242194,241.351974884772
"AFUN000915",1700.8523218898,2426.87226168128,1951.9350687915,1975.68508651456,2865.23922303977,2236.16533673466,1863.16410914835
"AFUN000916",3016.77490777295,3902.50179448854,2475.50726894942,2386.06854821501,3106.77865215683,3198.91516175599,2133.77086886764
"AFUN000922",138.753742048904,95.6309268042469,107.368492659112,115.618870014678,81.8978899708965,122.383452333219,100.563322868655
"AFUN000923",540.095210986058,607.351382816376,346.233229136688,362.103054441575,485.452710117343,702.292734158319,422.36595604835
"AFUN000924",214.844503817658,151.362857657053,162.86232032562,165.169814306683,143.024575963667,126.149097020395,137.131803911802
"AFUN000925",707.196491733126,929.709937408175,889.107630222088,917.327737918656,1159.03318197943,1157.30813385875,769.766525958249
"AFUN000931",22.3796358143394,31.0325524066761,26.5405262752862,11.434833298155,32.6404633941979,52.7190256204636,32.9116329388325
