"","PortVict_resistant","PortVict_susceptible","PortVict_susceptible.1","PortVict_resistant.1"
"AFUN011100",70.2187059597844,25.7196422992234,25.7196422992234,70.2187059597844
"AFUN011101",99.6125828731826,30.6186217847897,30.6186217847897,99.6125828731826
"AFUN011103",227.802546078836,148.194129438382,148.194129438382,227.802546078836
"AFUN011104",1121.8663021947,488.673203685244,488.673203685244,1121.8663021947
"AFUN011105",832.82651254628,704.228301050164,704.228301050164,832.82651254628
"AFUN011106",186.977717032449,77.1589268976701,77.1589268976701,186.977717032449
"AFUN011107",53.8887743412299,36.7423461417477,36.7423461417477,53.8887743412299
"AFUN011115",49.8062914365913,433.559684472623,433.559684472623,49.8062914365913
"AFUN011116",7.34846922834953,273.118106320324,273.118106320324,7.34846922834953
"AFUN011117",0,42.8660704987056,42.8660704987056,0
"AFUN011118",1790.5770019745,1469.69384566991,1469.69384566991,1790.5770019745
"AFUN011119",22.8619042659763,62.461988440971,62.461988440971,22.8619042659763
"AFUN011120",414.780263111285,461.728816514629,461.728816514629,414.780263111285
"AFUN011121",462.137064805093,361.299737060519,361.299737060519,462.137064805093
"AFUN011122",17.96292478041,173.913771737606,173.913771737606,17.96292478041
"AFUN011123",65.3197264742181,39.1918358845309,39.1918358845309,65.3197264742181
"AFUN011126",800.983145890099,766.690289491135,766.690289491135,800.983145890099
"AFUN011127",243.315981116462,631.96835363806,631.96835363806,243.315981116462
"AFUN011130",6.53197264742181,26.944387170615,26.944387170615,6.53197264742181
"AFUN011151",111.860031587098,68.585712797929,68.585712797929,111.860031587098
"AFUN011154",326.59863237109,170.239537123431,170.239537123431,326.59863237109
"AFUN011155",987.960862922548,731.172688220779,731.172688220779,987.960862922548
"AFUN011159",58.7877538267963,60.0124986981879,60.0124986981879,58.7877538267963
"AFUN011168",293.938769133981,306.186217847897,306.186217847897,293.938769133981
"AFUN011169",110.227038425243,57.5630089554047,57.5630089554047,110.227038425243
"AFUN011171",166.565302509256,91.8558653543692,91.8558653543692,166.565302509256
"AFUN011172",196.775676003582,208.20662813657,208.20662813657,196.775676003582
"AFUN011177",856.504913393185,715.251004892688,715.251004892688,856.504913393185
"AFUN011179",52.2557811793745,22.0454076850486,22.0454076850486,52.2557811793745
"AFUN011187",75.1176854453508,120.024997396376,120.024997396376,75.1176854453508
"AFUN011188",2098.39621298426,2830.38539778596,2830.38539778596,2098.39621298426
"AFUN011189",278.425334096355,127.373466624725,127.373466624725,278.425334096355
"AFUN011191",2674.0263025383,1784.45327761755,1784.45327761755,2674.0263025383
"AFUN011192",287.40679648656,169.014792252039,169.014792252039,287.40679648656
"AFUN011195",91534.9821980646,111197.036363385,111197.036363385,91534.9821980646
"AFUN011196",575.630089554047,595.226007496312,595.226007496312,575.630089554047
"AFUN011197",1274.55116282818,5426.84452513613,5426.84452513613,1274.55116282818
"AFUN011198",80.0166649309171,66.1362230551458,66.1362230551458,80.0166649309171
"AFUN011199",42.4578222082418,44.0908153700972,44.0908153700972,42.4578222082418
"AFUN011204",7.34846922834953,67.3609679265374,67.3609679265374,7.34846922834953
"AFUN011205",604.207469886517,1079.00023169599,1079.00023169599,604.207469886517
"AFUN011206",436.825670796333,121.249742267767,121.249742267767,436.825670796333
"AFUN011207",742.195392063303,378.446165260001,378.446165260001,742.195392063303
"AFUN011210",160.033329861834,79.6084166404533,79.6084166404533,160.033329861834
"AFUN011211",235.151015307185,60.0124986981879,60.0124986981879,235.151015307185
"AFUN011212",4532.37252072981,6487.47358376125,6487.47358376125,4532.37252072981
"AFUN011216",62.8702367314349,39.1918358845309,39.1918358845309,62.8702367314349
"AFUN011217",428.660704987056,420.087490887315,420.087490887315,428.660704987056
"AFUN011218",851.605933907618,1647.28185202169,1647.28185202169,851.605933907618
"AFUN011219",188.610710194305,82.0579063832365,82.0579063832365,188.610710194305
"AFUN011220",5774.26382032088,3609.32313599101,3609.32313599101,5774.26382032088
"AFUN011229",106.144555520604,181.262240965955,181.262240965955,106.144555520604
"AFUN011234",50.622788017519,129.822956367508,129.822956367508,50.622788017519
"AFUN011235",48.1732982747358,107.77754868246,107.77754868246,48.1732982747358
"AFUN011236",489.081451975708,90.6311204829776,90.6311204829776,489.081451975708
"AFUN011238",247.398464021101,318.433666561813,318.433666561813,247.398464021101
"AFUN011239",137.171425595858,131.0477012389,131.0477012389,137.171425595858
"AFUN011244",45.7238085319527,117.575507653593,117.575507653593,45.7238085319527
"AFUN011247",75.1176854453508,106.552803811068,106.552803811068,75.1176854453508
"AFUN011251",221.270573431414,173.913771737606,173.913771737606,221.270573431414
"AFUN011253",151.868364052557,149.418874309774,149.418874309774,151.868364052557
