"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN007694",7.15153520529002,9.08143185257967,6.16268273337564,13.4055908065391
"AFUN007699",545.559971374981,1481.78696394592,644.770680979426,652.931128694965
"AFUN007700",344.295337740391,1557.46556271741,549.249098612103,781.467087604722
"AFUN007701",2079.05344896646,2385.38943327759,2280.19261134899,2007.68436432051
"AFUN007702",496.520872824421,560.02163090908,627.823303462643,446.327317441244
"AFUN007705",884.747069683022,500.992323867312,828.110492297351,729.421852708747
"AFUN007706",1074.77357656644,260.334379773951,888.966984289435,794.872678411261
"AFUN007712",243.152196979861,107.463610255526,150.215391626031,236.569249527161
"AFUN007713",1.02164788647,6.05428790171978,50.842132550349,5.51994915563376
"AFUN007714",348.381929286271,219.467936437342,268.07669890184,341.448283484202
"AFUN007715",1171.83012578109,1984.29285978866,1351.16818929261,1719.06987989737
"AFUN007716",348.381929286271,290.605819282549,228.78959647657,287.825920258046
"AFUN007717",81.7318309176002,104.436466304666,111.698624542433,78.8564165090537
"AFUN007718",175.72343647284,634.186657705147,379.775323444274,294.13443357877
"AFUN007719",308.537661713941,428.340869046674,220.315907718179,320.945615191849
"AFUN007723",18.38966195646,3.02714395085989,27.7320723001904,3.15425666036215
"AFUN007724",116.46785905758,51.4614471646181,53.9234739170368,53.6223632261565
"AFUN007727",16.34636618352,3.02714395085989,10.0143594417354,0
"AFUN007729",12.25977463764,0,3.85167670835977,10.251334146177
"AFUN007734",58.2339295287901,329.958690643728,66.2488393837881,275.208893616597
"AFUN007738",2047.38236448589,1036.79680316951,2035.99630803898,1797.92629640642
"AFUN007740",476.087915095021,234.603656191641,563.115134762199,450.270138266697
"AFUN007741",189.00485899695,139.248621739555,197.20584746802,177.426937145371
"AFUN007745",69.4720562799602,105.950038280096,128.646002059216,87.5306223250496
"AFUN007746",2244.5604065746,1005.01179168548,1633.11092434454,2513.15399414354
"AFUN007747",116.46785905758,66.5971669189176,81.6555462172272,123.016009754124
"AFUN007748",763.170971193092,525.209475474191,613.957267312548,576.440404681182
"AFUN007749",812.210069743652,933.873908840276,966.770853798303,894.231763212669
"AFUN007750",274.823281460431,373.852277931196,347.421239094051,358.796695116194
"AFUN007751",147.11729565168,77.1921707469272,161.77042175111,175.061244650099
"AFUN007752",415.810689793291,317.850114840288,358.976269219131,351.699617630379
"AFUN007754",1163.65694268933,806.733862904161,1308.79974550065,1107.14408778711
"AFUN007755",529.213605191461,272.44295557739,380.545658785945,439.230239955429
"AFUN007756",2405.98077263686,1675.52417680095,2303.30267159914,1535.33442943128
"AFUN007758",206.372873066941,149.843625567565,265.765692876824,226.317915380984
"AFUN007760",694.720562799602,847.600306240769,786.512383847066,586.691738827359
"AFUN007762",1294.42787215749,1048.90537897295,1356.56053668431,1433.6096521346
"AFUN007763",83.7751266905402,65.0835949434876,76.2631988255235,89.8963148203212
"AFUN007769",345.316985626861,487.370176088442,276.550387660232,376.145106748186
"AFUN007770",58.2339295287901,72.6514548206374,56.2344799420527,71.7593390232389
"AFUN007771",14.30307041058,3.02714395085989,27.7320723001904,33.9082590988931
"AFUN007772",0,0,31.5837490085501,0
