"","Teso_resistant","Teso_resistant.1","teso1_susceptible","siaya_unexposed"
"AFUN000436",630.469049877687,630.469049877687,632.584781003048,475.419881597218
"AFUN000437",321.347105754832,321.347105754832,146.873044876472,279.393674493152
"AFUN000438",929.112284030275,929.112284030275,1607.87333338453,1223.47391330469
"AFUN000440",163.002155093031,163.002155093031,409.698493602789,164.481759983872
"AFUN000441",276.521513104248,276.521513104248,139.142884619815,137.443662452276
"AFUN000443",192.109682788215,192.109682788215,858.04778848886,295.165898053249
"AFUN000447",1291.79207911227,1291.79207911227,863.201228659964,1518.63981135794
"AFUN000448",3650.66612352998,3650.66612352998,11341.4334565577,4143.58844671698
"AFUN000449",181.048822264045,181.048822264045,293.746089752943,153.215886012374
"AFUN000450",520.442595189891,520.442595189891,724.058344040149,511.470678306012
"AFUN000451",596.704317751273,596.704317751273,425.158814116102,730.028633353074
"AFUN000452",288.164524182322,288.164524182322,373.624412405059,229.82382901856
"AFUN000453",1866.95682636911,1866.95682636911,3389.67527254383,3733.51063415445
"AFUN000454",288.164524182322,288.164524182322,164.910085475336,509.217503511712
"AFUN000456",67.529464252827,67.529464252827,77.301602566564,130.684138069377
"AFUN000458",1459.45143863653,1459.45143863653,2959.36301825662,2852.51928958331
"AFUN000461",1759.25897389692,1759.25897389692,877.373189130501,1660.58982339881
"AFUN000462",181.048822264045,181.048822264045,506.325496810994,346.98891832214
"AFUN000463",139.13398238298,139.13398238298,97.915363250981,234.330178607159
"AFUN000464",6.98580664684417,6.98580664684417,87.6084829087725,4.50634958859922
"AFUN000467",109.444304133892,109.444304133892,61.8412820532512,96.8865161548833
"AFUN000469",40.168388219354,40.168388219354,83.7434027804443,112.658739714981
"AFUN000471",395.280226100599,395.280226100599,198.407446587514,299.672247641848
"AFUN000473",26.7789254795693,26.7789254795693,54.1111217965948,15.7722235600973
"AFUN000474",9.89655941636258,9.89655941636258,12.8836004277607,33.7976219144942
"AFUN000475",362.09764452809,362.09764452809,496.018616468785,441.622259682724
"AFUN000476",3493.48547397599,3493.48547397599,1708.36541672106,3501.43363034159
"AFUN000477",17.4645166171104,17.4645166171104,39.939161326058,56.3293698574903
"AFUN000478",451.748829829256,451.748829829256,243.500048084676,849.446897450953
"AFUN000482",33.7647321264135,33.7647321264135,14.1719604705367,90.1269917719844
"AFUN000483",52.975700405235,52.975700405235,63.1296420960272,108.152390126381
"AFUN000484",84.4118303160337,84.4118303160337,52.8227617538187,110.405564920681
"AFUN000486",26.7789254795693,26.7789254795693,9.01852029943246,38.3039715030934
"AFUN000489",461.645389245619,461.645389245619,184.235486116977,585.825446517899
"AFUN000490",35.5111837881245,35.5111837881245,55.3994818393708,27.0380975315953
"AFUN000491",24.4503232639546,24.4503232639546,23.1904807699692,22.5317479429961
"AFUN000492",363.844096189801,363.844096189801,584.915459420334,383.039715030934
"AFUN000493",112.35505690341,112.35505690341,42.5158814116102,96.8865161548833
"AFUN000494",3555.19343268978,3555.19343268978,1647.81249471059,3231.05265502564
"AFUN000495",633.379802647205,633.379802647205,815.53190707725,592.584970900798
"AFUN000496",639.201308186242,639.201308186242,288.592649581839,396.558763796731
"AFUN000497",420.312699918458,420.312699918458,150.7381250048,371.773841059436
"AFUN000499",95.4726908402037,95.4726908402037,21.9021207271931,45.0634958859922
"AFUN000501",20.9574199405325,20.9574199405325,25.7672008555213,51.823020268891
"AFUN000503",232.278071007569,232.278071007569,189.388926288082,279.393674493152
"AFUN000504",1029.24217930171,1029.24217930171,313.071490394584,847.193722656654
"AFUN000505",1451.30133088188,1451.30133088188,1433.94472760976,1800.28666064539
"AFUN000506",920.38002572172,920.38002572172,291.169369667391,959.852462371634
"AFUN000507",288.164524182322,288.164524182322,401.968333346133,414.584162151128
"AFUN000508",27.9432265873767,27.9432265873767,363.317532062851,29.2912723258949
"AFUN000510",34.3468826803172,34.3468826803172,168.775165603665,96.8865161548833
"AFUN000511",388.876570007659,388.876570007659,247.365128213005,286.153198876051
"AFUN000514",105.369250256566,105.369250256566,180.370405988649,139.696837246576
"AFUN000515",238.099576546606,238.099576546606,182.947126074201,326.710345173444
"AFUN000518",398.773129424021,398.773129424021,336.261971164553,673.699263495584
"AFUN000519",1343.6034784097,1343.6034784097,798.783226521161,1482.58901464914
"AFUN000521",84.9939808699374,84.9939808699374,70.8598023526836,31.5444471201945
"AFUN000522",369.083451174934,369.083451174934,685.407542756867,592.584970900798
"AFUN000523",650.262168710412,650.262168710412,532.092697666515,937.320714428638
"AFUN000527",1777.30564106794,1777.30564106794,1297.3785630755,1478.08266506054
"AFUN000528",2142.89618891945,2142.89618891945,1698.05853637885,1777.75491270239
"AFUN000529",543.728617346038,543.728617346038,510.190576939322,441.622259682724
"AFUN000530",79.1724753309006,79.1724753309006,79.8783226521161,45.0634958859922
"AFUN000532",129.819573520521,129.819573520521,255.095288469661,121.671438892179
"AFUN000538",9.3144088624589,9.3144088624589,48.9576816254905,0
"AFUN000539",392.951623884985,392.951623884985,283.439209410734,211.798430664163
"AFUN000540",347.543880680498,347.543880680498,445.772574800519,410.077812562529
"AFUN000542",711.387976870298,711.387976870298,221.597927357483,601.597670077996
"AFUN000543",97.8012930558184,97.8012930558184,18.0370405988649,123.924613686479
"AFUN000544",176.973768386719,176.973768386719,77.301602566564,117.16508930358
"AFUN000545",4765.48443425553,4765.48443425553,1877.14058232473,3897.99239413833
"AFUN000546",77.4260236691896,77.4260236691896,101.780443379309,184.760333132568
"AFUN000547",298.643234152588,298.643234152588,198.407446587514,272.634150110253
"AFUN000548",135.641079059558,135.641079059558,96.6270032082049,108.152390126381
"AFUN000549",36.0933343420282,36.0933343420282,27.0555608982974,36.0507967087938
"AFUN000550",181.630972817948,181.630972817948,63.1296420960272,121.671438892179
"AFUN000551",118.758712996351,118.758712996351,43.8042414543862,87.8738169776848
"AFUN000554",721.866686840564,721.866686840564,1226.51876072281,1207.70168974459
"AFUN000558",43.6612915427761,43.6612915427761,48.9576816254905,15.7722235600973
"AFUN000559",33.1825815725098,33.1825815725098,0,6.75952438289883
"AFUN000567",431.955710996531,431.955710996531,239.634967956348,304.178597230447
"AFUN000568",12.2251616319773,12.2251616319773,70.8598023526836,18.0253983543969
"AFUN000569",20.3752693866288,20.3752693866288,177.793685903097,171.24128436677
"AFUN000578",44.8255926505834,44.8255926505834,41.2275213688341,45.0634958859922
"AFUN000579",29.6896782490877,29.6896782490877,45.0926014971623,54.0761950631907
"AFUN000580",331.243665171194,331.243665171194,155.891565175904,247.849227372957
"AFUN000581",1386.68261939857,1386.68261939857,2235.30467421647,1667.34934778171
"AFUN000582",429.044958227013,429.044958227013,231.904807699692,245.596052578658
"AFUN000583",20.9574199405325,20.9574199405325,48.9576816254905,22.5317479429961
"AFUN000584",72.7688192379601,72.7688192379601,121.10584402095,49.5698454745914
"AFUN000585",494.245820264225,494.245820264225,349.145571592314,419.090511739728
"AFUN000586",929.694434584179,929.694434584179,997.190673108675,896.763568131245
"AFUN000592",1258.60949753976,1258.60949753976,999.767393194227,1119.82787276691
"AFUN000597",7.56795720074785,7.56795720074785,34.7857211549538,96.8865161548833
"AFUN000601",336.483020156328,336.483020156328,378.777852576163,270.380975315953
"AFUN000602",1103.75745020138,1103.75745020138,2079.41310904057,1559.19695765533
"AFUN000603",87.3225830855522,87.3225830855522,47.6693215827144,101.392865743482
"AFUN000604",214.231403836555,214.231403836555,251.230208341333,130.684138069377
"AFUN000605",89.0690347472632,89.0690347472632,70.8598023526836,157.722235600973
"AFUN000606",24.4503232639546,24.4503232639546,18.0370405988649,54.0761950631907
"AFUN000607",721.284536286661,721.284536286661,510.190576939322,500.204804334514
"AFUN000608",798.71055995585,798.71055995585,586.20381946311,899.016742925545
"AFUN000609",154.269896784475,154.269896784475,115.952403849846,81.114292594786
"AFUN000610",371.412053390548,371.412053390548,92.7619230798767,238.836528195759
"AFUN000612",1319.73530569964,1319.73530569964,380.066212618939,547.521475014805
"AFUN000613",823.743033773709,823.743033773709,1211.0584402095,725.522283764475
"AFUN000614",68.6937653606344,68.6937653606344,117.240763892622,94.6333413605836
"AFUN000616",94.3083897323963,94.3083897323963,72.1481623954597,42.8103210916926
"AFUN000618",509.381734665721,509.381734665721,452.214375014399,432.609560505525
"AFUN000619",86.7404325316485,86.7404325316485,61.8412820532512,232.07700381286
"AFUN000620",153.687746230572,153.687746230572,189.388926288082,96.8865161548833
"AFUN000621",589.718511104429,589.718511104429,429.02389424443,880.991344571148
"AFUN000622",153.105595676668,153.105595676668,599.087419890871,254.608751755856
"AFUN000623",1138.6864834356,1138.6864834356,1911.92630347968,1009.42230784623
"AFUN000624",870.897228639907,870.897228639907,849.029268189427,1264.03105960208
"AFUN000625",65.2008620372123,65.2008620372123,77.301602566564,78.8611178004864
"AFUN000626",908.737014643646,908.737014643646,1799.83897975816,908.029442102743
"AFUN000627",1136.35788121999,1136.35788121999,1321.85740388824,842.687373068054
